,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227
0,0.0,3165.94,8731.54,11903.45,7757.18,19878.51,18436.35,2213.47,5887.74,16132.12,13615.5,4269.59,9099.25,25422.62,13520.72,5371.21,16011.3,15778.86,18061.91,17633.57,15462.43,15165.69,19417.62,15238.99,18670.73,18565.91,20183.65,17390.28,15191.11,15438.23,15612.42,15892.59,15626.48,17350.32,16135.11,15225.48,15073.98,16693.12,18093.27,16693.12,17377.09,18565.91,26429.57,17633.57,16231.72,16011.3,15626.48,18671.69,18833.92,24447.53,15260.67,14430.67,13734.57,16540.18,15466.21,17671.96,16220.25,15046.88,13116.35,13739.89,13734.57,13358.63,16618.13,17196.06,13635.75,12997.24,15479.33,16772.15,12457.14,16548.5,16220.25,17329.95,14001.52,18143.31,21100.21,22525.28,22796.58,18554.52,23092.95,23751.86,22283.86,19016.57,23586.52,19552.98,18671.27,18762.9,19852.75,19097.3,23739.71,19626.76,20196.98,22261.32,18916.01,22582.85,19385.93,18677.44,18811.99,22525.28,24835.02,19016.57,19214.22,22283.86,20216.57,25558.79,20359.54,25568.29,23092.95,19341.45,6580.34,5271.73,20485.08,24839.53,10901.71,24607.97,9165.09,3153.95,13101.03,14782.32,9382.32,17840.06,4174.07,16874.95,16599.96,2299.75,7579.479999999999,15112.74,6865.97,3597.36,12347.29,1523.97,6494.29,18261.18,2908.21,5574.54,11830.8,20812.55,6485.92,13267.95,12176.65,5571.97,15923.33,9602.04,15272.86,11044.55,4665.37,15495.11,15330.71,4955.01,12751.2,21024.91,27850.35,24562.4,24967.11,21689.13,24562.4,21863.02,17744.42,27087.66,21575.84,19326.45,28405.96,21347.94,21347.37,21976.14,21480.47,27461.9,24049.18,17323.27,24776.82,24016.15,22747.93,22125.65,24045.83,16692.71,21279.69,22017.19,18312.7,21273.08,23996.49,16943.45,19911.14,27087.66,25502.72,16963.46,27033.47,16722.56,21827.48,21303.52,17310.0,25702.04,19543.25,20438.8,18312.7,16744.97,25261.09,21754.67,26967.73,21290.25,19890.08,19894.84,23440.09,25988.27,27729.38,19947.12,23184.71,19947.12,21926.97,22762.58,21263.9,19337.01,27575.15,21669.18,18805.5,19911.14,9041.52,14392.85,6464.18,11584.16,18457.2,10725.64,9319.97,8273.62,10913.95,21561.83,10012.42,22614.08,26339.9,10012.42
1,3165.94,0.0,5625.76,8749.35,4695.51,16716.96,15274.0,1037.65,2910.29,12966.19,10451.78,1330.37,5982.33,22258.06,10357.2,2391.12,13509.06,13160.73,14952.42,15294.95,12330.53,12333.9,16346.37,12313.06,15578.99,15471.28,17132.29,15031.23,12337.72,12306.16,12457.45,12727.07,12472.69,14221.69,12970.7,12133.23,12039.26,13545.76,15792.86,13545.76,15020.31,15471.28,23449.35,15294.95,13753.67,13509.06,12472.69,15581.01,15747.37,21457.8,12334.42,13789.97,12815.38,16319.82,12617.08,17882.68,15941.24,12365.57,10865.37,12823.89,12815.38,12159.41,16422.75,14101.22,12636.35,10769.99,12614.76,13708.5,10434.92,13507.87,15941.24,17498.6,13226.38,18377.43,18077.68,19419.51,19682.15,16121.81,19970.27,20625.36,19189.45,16350.16,20460.04,16708.99,16540.09,16393.22,18560.02,16395.53,20612.72,18241.14,17268.91,19166.42,17171.97,19476.09,17872.6,16112.37,16508.11,19419.51,21704.94,16350.16,16446.65,19189.45,17289.27,22424.53,17413.14,22434.4,19970.27,16548.65,8905.88,7658.29,22558.37,26788.02,13107.06,26566.59,11436.41,4646.63,15263.58,16959.59,11646.7,19903.95,6290.6,18943.02,18691.69,3816.96,9884.73,17295.34,9176.75,1800.89,10210.65,1781.42,4541.54,16019.53,1270.64,3736.09,9687.7,18468.14,4525.64,11172.77,10038.4,3745.69,13790.62,6596.78,12686.43,8151.33,3184.35,12935.39,12751.18,2099.92,10044.47,20900.35,25088.55,22201.09,22570.67,20173.97,22201.09,20724.15,18957.18,24408.08,20959.36,21114.56,25600.13,23493.45,20846.07,21028.06,20207.84,24763.96,21903.65,17953.2,22391.33,21904.95,21019.47,21295.44,21925.94,17571.32,20937.02,21084.94,19763.01,20965.48,21945.45,17983.52,21824.4,24408.08,23021.79,18001.38,24361.93,17561.23,21136.3,20960.58,17945.39,23161.46,21382.77,22450.49,19763.01,17584.07,22838.72,20581.86,24301.23,19893.25,21804.79,21804.78,21619.56,23414.6,24988.54,20007.81,21396.64,20007.81,20879.53,21035.4,19894.15,21121.46,24857.8,23859.14,19052.36,21824.4,9261.92,13471.91,8090.27,11070.06,17207.37,10422.11,9441.75,8768.21,10565.72,20115.08,9915.24,21118.47,24716.98,9915.24
2,8731.54,5625.76,0.0,3280.12,1035.65,11465.75,10027.42,6659.59,2905.29,7631.76,5065.2,4470.84,387.42,16912.7,4968.68,3392.76,8920.21,8335.059999999998,10189.58,10953.16,6737.24,7082.72,11764.43,6879.18,10906.43,10784.96,12628.35,10661.22,7042.16,6713.24,6946.7,7351.87,6954.52,9346.31,7717.489999999998,6507.48,6447.38,8526.33,11503.64,8526.33,10655.76,10784.96,19107.02,10953.16,9202.96,8920.21,6954.52,10914.68,11099.7,17117.12,6899.57,15651.39,14322.19,18621.51,9305.13,20718.57,18181.27,9728.75,9822.62,14335.16,14322.19,13253.17,18755.04,9466.59,14026.14,9811.13,9238.42,9281.98,10077.73,9222.35,18181.27,20296.36,14928.34,21220.1,13682.46,14572.38,14779.97,13898.35,15013.23,15635.61,14410.16,13388.4,15472.45,13103.13,15100.94,14328.28,18835.92,13312.88,15619.95,18353.34,13308.79,14384.86,16603.32,14622.3,17748.72,13491.99,14616.35,14572.38,16680.03,13388.4,13133.82,14410.16,13331.4,17365.33,13371.98,17377.54,15013.23,13139.78,14293.48,13113.81,27487.18,31540.45,18307.59,31332.23,16722.4,9956.6,20385.37,22062.98,16922.95,24859.57,11694.59,23917.45,23691.83,9259.62,15232.52,22397.8,14548.32,5528.07,6901.53,7406.75,4591.05,11839.99,5964.47,4866.16,6475.19,13976.0,4574.52,7791.64,6760.77,4887.08,10003.72,3907.99,10334.84,5478.36,5512.86,10640.08,10414.16,3861.04,7697.89,23085.45,21469.9,19828.49,20089.0,19895.03,19828.49,21166.99,23035.65,21059.88,22336.88,25775.79,21829.93,28482.12,22424.78,21812.7,20419.74,21350.81,20099.23,21354.13,19946.21,20185.27,20234.66,22280.52,20183.93,21303.11,22773.2,21895.67,24088.66,22857.13,20370.3,21893.28,26603.1,21059.88,20291.78,21907.88,21039.2,21244.36,22375.56,22795.2,21353.76,20258.58,26092.79,27319.68,24088.66,21266.71,20276.55,20967.3,20995.28,19874.64,26585.26,26580.39,20598.03,20408.37,21437.85,22517.23,20459.46,22517.23,21487.38,20252.57,19930.69,25778.73,21382.94,28886.99,21879.22,26603.1,12884.27,14896.54,13104.17,13464.78,17666.43,13214.26,12923.52,12756.84,13274.36,19981.55,13057.44,20827.51,23992.78,13057.44
3,11903.45,8749.35,3280.12,0.0,4315.55,8193.1,6759.32,9761.19,6171.81,4355.25,1790.75,7688.279999999999,2892.84,13633.8,1694.58,6641.74,8214.35,7388.649999999999,7128.46,10322.56,3641.22,5592.96,8765.66,4980.34,7878.05,7751.89,9652.65,10025.85,5462.8,3616.42,3708.98,4071.92,3723.46,6243.14,4460.47,3683.51,4004.46,5363.04,10883.39,5363.04,10026.94,7751.89,16117.47,10322.56,8509.83,8214.35,3723.46,7889.62,8080.47,14150.16,4995.15,16377.68,14933.75,19456.45,7340.8,21789.75,18998.68,8215.84,9394.1,14948.31,14933.75,13713.96,19602.29,6508.55,14593.26,9438.45,7232.58,6476.39,10042.47,6523.23,18998.68,21358.14,15608.81,22280.78,10743.14,11406.38,11591.64,12294.31,11804.38,12413.41,11273.24,11338.96,12251.6,10653.45,13916.72,12798.74,18491.7,11189.31,12396.89,17933.87,10630.46,11247.22,15864.62,11453.3,17217.64,11657.61,13178.75,11406.38,13443.99,11338.96,10870.73,11273.24,10653.67,14118.73,10642.81,14131.47,11804.38,10814.45,17072.06,15963.39,29771.4,33661.61,20889.5,33464.7,19389.34,12776.33,22883.28,24528.9,19579.84,27186.82,14528.87,26267.82,26063.58,12175.09,17966.99,24859.66,17310.81,8803.79,7820.08,10509.88,7622.62,11307.46,9211.28,8042.93,7563.489999999998,12976.32,7609.04,8481.13,7734.439999999999,8062.859999999999,10025.86,4260.77,8951.17,4956.89,8755.719999999998,9260.61,9031.4,7122.66,6749.13,23710.35,18807.02,17887.96,18078.54,19183.0,17887.96,20832.98,24797.3,18545.23,22510.87,27882.11,19085.68,30804.84,22713.48,21657.15,19976.58,18796.94,18482.26,22739.54,17960.55,18615.34,19212.78,22227.42,18600.96,22887.16,23202.29,21752.74,25991.02,23316.33,18879.43,23572.34,28784.2,18545.23,18134.33,23584.65,18538.57,22800.57,22467.8,23222.76,22743.59,18004.17,28229.97,29560.54,25991.02,22822.11,18215.15,20606.51,18504.42,19316.34,28767.81,28759.49,19424.87,18092.9,18810.55,23347.33,19340.39,23347.33,21239.13,19231.25,19402.66,27882.26,18796.04,31237.75,22912.58,28784.2,14717.99,15423.46,15661.73,14621.87,17482.07,14598.81,14683.19,14783.92,14610.97,19351.79,14634.38,20075.57,22897.82,14634.38
4,7757.18,4695.51,1035.65,4315.55,0.0,12500.86,11062.04,5733.14,1889.16,8667.35,6100.79,3487.65,1423.07,17947.24,6004.27,2391.72,9351.43,8847.3,11188.26,11320.83,7740.939999999999,7766.95,12747.59,7659.739999999998,11897.33,11777.02,13604.96,11035.41,7748.18,7717.18,7973.439999999999,8387.399999999998,7980.08,10354.3,8751.11,7468.609999999999,7344.02,9545.77,11859.29,9545.77,11028.15,11777.02,20078.12,11320.83,9623.74,9351.43,7980.08,11904.91,12088.38,18084.91,7680.77,15582.61,14304.39,18494.45,10084.04,20500.71,18062.85,10395.18,10197.9,14316.7,14304.39,13297.19,18623.05,10448.15,14026.21,10170.47,10027.51,10235.79,10330.71,10156.06,18062.85,20083.78,14881.53,21003.41,14649.17,15586.77,15798.89,14540.63,16036.26,16661.19,15418.55,14148.08,16497.79,13960.78,15620.03,14947.48,19083.33,14091.3,16645.7,18626.61,14218.24,15393.42,16983.65,15637.28,18059.52,14196.98,15208.66,15586.77,17708.21,14148.08,13947.15,15418.55,14240.63,18395.54,14292.73,18407.64,16036.26,13967.93,13478.02,12273.06,26826.74,30931.28,17557.31,30719.4,15943.74,9145.72,19661.41,21346.98,16147.63,24188.46,10866.66,23239.87,23006.94,8409.3,14431.76,21682.57,13738.55,4497.44,6891.37,6474.32,3708.01,12164.71,4953.96,3889.46,6423.12,14410.52,3690.0,7826.3,6737.12,3910.8,10193.69,4360.1,10959.5,6036.02,4494.9,11259.16,11037.4,2845.22,8268.889999999998,23004.91,22356.94,20529.23,20807.72,20247.07,20529.23,21398.55,22570.77,21909.37,22404.62,25181.95,22737.3,27806.37,22455.62,21986.18,20688.32,22209.95,20710.36,21026.3,20658.72,20782.97,20676.07,22419.96,20785.27,20906.64,22757.46,22064.85,23571.14,22831.32,20945.14,21461.3,25980.99,21909.37,21049.21,21476.65,21885.1,20857.84,22468.96,22779.86,21024.4,21041.79,25487.31,26674.98,23571.14,20880.38,21008.36,21208.04,21838.73,20180.86,25962.67,25959.04,21081.55,21207.28,22315.8,22371.69,20928.01,22371.69,21691.05,20693.74,20227.51,25185.87,22250.56,28200.64,21668.73,25980.99,12451.22,14900.62,12385.08,13271.18,17872.58,12942.92,12517.9,12251.2,13019.49,20308.62,12718.08,21186.77,24440.57,12718.08
5,19878.51,16716.96,11465.75,8193.1,12500.86,0.0,1445.3,17679.35,14329.26,3839.3,6402.77,15777.72,11078.53,5563.25,6499.13,14776.6,11909.48,10997.1,2954.41,13426.54,5411.68,9231.88,3473.88,8286.3,3110.31,3075.47,3988.68,13211.44,9023.28,5426.44,4778.11,4138.75,4797.64,3033.94,3761.13,6246.35,7118.53,3308.46,13845.45,3308.46,13225.38,3075.47,9053.67,13426.54,12111.78,11909.48,4797.64,3134.96,3189.55,7376.75,8275.809999999998,19978.23,18500.95,22951.47,7599.41,25589.8,22500.07,9134.89,12213.73,18516.52,18500.95,17180.1,23109.71,3765.98,18124.08,12353.19,7451.67,4530.89,13408.21,4989.35,22500.07,25169.54,19217.3,26024.78,4847.46,3848.97,3860.32,11195.72,3922.17,4423.08,3939.08,9143.14,4274.9,7221.84,13565.7,11769.21,19464.07,8790.83,4402.45,18799.46,6183.65,3912.49,16269.97,3869.17,17915.03,10059.57,12309.74,3848.97,5360.71,9143.14,8088.02,3939.08,6199.97,5985.81,5940.21,6000.39,3922.17,7815.989999999998,24317.01,23356.67,35747.35,39206.54,27678.3,39038.2,26374.93,20227.11,29458.67,30998.78,26542.07,33312.57,21940.07,32463.59,32307.5,19781.94,25111.41,31313.17,24521.8,16965.85,14058.01,18413.11,15720.61,14336.3,17322.31,16209.25,14052.71,14540.95,15708.88,14276.42,14056.3,16228.63,14429.3,10693.39,9806.1,9924.03,16945.47,9974.78,9848.67,15268.16,9819.72,26411.97,12844.27,14537.65,14475.71,19154.56,14537.65,21556.86,29853.02,13151.72,24282.13,33536.59,12796.88,36839.33,24731.96,22729.71,20526.74,13236.63,16052.12,27128.99,14454.42,16307.11,18369.16,23491.35,16255.98,27672.93,25501.69,22846.39,31287.27,25675.15,16768.15,28515.69,34569.12,13151.72,14037.26,28522.77,13196.5,27534.64,24052.69,25517.17,27141.88,13593.1,33938.52,35450.8,31287.27,27553.38,14427.41,21288.97,13201.12,19659.46,34556.17,34540.88,18142.78,13458.87,12979.56,26525.42,18217.29,26525.42,22129.57,18386.73,19810.6,33530.97,13115.14,37322.68,26556.52,34569.12,20526.8,18750.01,22593.17,19264.49,18968.51,19650.34,20371.02,20907.1,19576.55,19511.11,20016.37,19835.97,21457.04,20016.37
6,18436.35,15274.0,10027.42,6759.32,11062.04,1445.3,0.0,16238.72,12886.26,2414.95,4968.61,14332.43,9640.4,6994.36,5064.74,13332.27,11039.16,10104.23,2365.19,12693.38,4174.43,8242.54,3549.39,7272.43,2863.09,2774.44,4298.28,12459.45,8030.859999999999,4185.9,3453.86,2728.95,3481.82,2021.36,2316.5,5076.04,6006.96,1984.64,13146.02,1984.64,12471.8,2774.44,10073.18,12693.38,11262.16,11039.16,3481.82,2889.22,3022.14,8273.46,7264.569999999999,19008.22,17519.51,22022.3,6733.7,24634.84,21566.47,8275.059999999998,11213.33,17535.11,17519.51,16195.49,22179.97,2912.3,17143.05,11344.37,6578.94,3664.52,12368.63,4123.45,21566.47,24210.46,18238.29,25080.36,5330.38,4952.12,5044.48,10798.74,5179.48,5738.23,4944.76,8878.78,5582.18,7131.38,13105.41,11379.99,18886.64,8552.12,5719.46,18230.8,6295.66,4917.39,15737.89,4985.16,17361.5,9714.080000000002,11908.1,4952.12,6726.37,8878.78,7895.75,4944.76,6315.36,7378.5,6110.11,7392.109999999999,5179.48,7657.939999999999,22934.18,21958.74,34530.29,38052.86,26348.38,37880.34,25021.49,18819.57,28156.25,29711.62,25191.38,32071.97,20538.54,31212.62,31050.25,18361.83,23739.63,30028.53,23142.55,15522.67,12892.85,16973.55,14313.85,13638.72,15877.11,14787.26,12855.1,14090.11,14301.74,13173.03,12880.26,14806.81,13524.07,9302.54,8995.309999999998,8615.63,15514.59,9195.89,9046.27,13824.21,8697.0,25624.2,13599.12,14697.75,14690.04,18743.19,14697.75,21045.22,28743.38,13765.01,23624.31,32357.28,13637.53,35616.46,24038.47,22171.73,20032.96,13893.18,16045.87,26099.41,14647.05,16280.48,18093.02,22908.84,16235.91,26591.55,24769.85,22286.02,30149.81,24935.28,16709.67,27416.41,33374.82,13765.01,14354.79,27424.22,13797.59,26459.68,23422.87,24786.21,26111.14,13975.43,32752.96,34244.38,30149.81,26478.88,14681.96,20781.43,13792.6,19190.36,33361.39,33346.98,17944.93,13891.54,13701.87,25666.56,17990.71,25666.56,21595.96,18111.01,19332.33,32352.4,13800.67,36094.0,25629.51,33374.82,19282.91,17804.67,21237.53,18150.4,18301.16,18489.19,19139.97,19630.2,18425.25,19071.76,18818.51,19470.62,21329.55,18818.51
7,2213.47,1037.65,6659.59,9761.19,5733.14,17679.35,16238.72,0.0,3937.82,13949.12,11448.74,2329.5,7013.67,23228.94,11354.7,3416.16,14473.9,14148.16,15848.78,16227.1,13353.92,13355.96,17210.09,13345.82,16459.5,16354.28,17980.81,15967.54,13362.6,13329.49,13466.69,13716.24,13483.06,15137.2,13942.52,13166.6,13076.83,14483.95,16717.17,14483.95,15956.1,16354.28,24250.05,16227.1,14713.81,14473.9,13483.06,16460.62,16623.49,22264.24,13367.22,13576.35,12692.92,15980.26,13331.98,17416.62,15618.81,12986.61,11269.28,12700.35,12692.92,12134.99,16075.71,14984.27,12541.53,11162.47,13338.78,14565.71,10733.12,14347.46,15618.81,17043.75,13055.73,17906.05,18905.54,20312.61,20583.29,16625.4,20879.48,21538.48,20072.53,16969.38,21373.13,17424.73,16907.73,16867.75,18596.62,17033.22,21526.35,18311.66,18034.79,20049.93,17379.19,20370.09,17990.85,16680.03,16952.61,20312.61,22621.82,16969.38,17119.57,20072.53,18054.68,23345.96,18190.48,23355.41,20879.48,17235.5,7913.43,6652.41,21636.32,25894.76,12146.47,25671.06,10460.85,3716.0,14315.0,16011.35,10672.81,18980.75,5305.84,18017.74,17761.6,2845.84,8899.03,16346.67,8187.43,2335.64,11081.6,749.52,5303.28,16930.75,1583.98,4435.84,10558.04,19405.45,5289.42,12036.87,10909.04,4441.59,14671.71,7405.18,13258.76,8886.01,3727.21,13494.74,13320.14,3090.55,10674.06,20545.15,25763.88,22679.68,23065.66,20298.4,22679.68,20709.68,18221.02,25040.52,20763.6,20249.15,26299.27,22558.44,20611.73,20946.28,20241.07,25405.94,22286.52,17367.17,22881.13,22273.1,21228.79,21173.21,22297.83,16916.86,20651.17,20997.74,18971.3,20668.42,22288.12,17288.31,20933.59,25040.52,23556.43,17306.76,24990.27,16917.32,20966.13,20674.87,17357.83,23724.56,20506.78,21540.43,18971.3,16940.12,23345.9,20579.38,24926.99,19972.15,20913.65,20914.63,21866.74,23993.87,25652.81,19593.19,21630.4,19593.19,20832.59,21244.24,19962.8,20256.84,25509.8,22916.14,18579.26,20933.59,8737.489999999998,13353.85,7206.029999999999,10795.13,17224.13,10071.97,8948.66,8159.51,10231.48,20213.28,9494.37,21237.34,24890.7,9494.37
8,5887.74,2910.29,2905.29,6171.81,1889.16,14329.26,12886.26,3937.82,0.0,10507.26,7944.51,1628.65,3288.42,19803.41,7848.029999999999,523.03,10694.2,10298.9,12880.07,12551.05,9630.03,9424.22,14393.2,9410.01,13565.91,13449.11,15231.05,12278.24,9427.43,9606.25,9851.74,10236.6,9859.77,12074.98,10570.35,9348.1,9187.84,11303.98,13066.26,11303.98,12268.61,13449.11,21675.37,12551.05,10948.76,10694.2,9859.77,13571.71,13750.5,19677.17,9431.45,15177.59,14007.69,17957.18,11319.17,19788.15,17544.53,11415.38,10692.51,14018.62,14007.69,13127.84,18075.96,12098.76,13765.88,10636.95,11282.76,11822.51,10601.0,11699.08,17544.53,19383.07,14524.63,20289.96,16247.18,17316.02,17543.54,15464.19,17796.06,18430.72,17128.73,15303.88,18266.47,15317.0,16298.75,15823.01,19223.85,15284.86,18415.99,18818.59,15684.42,17104.16,17388.88,17368.46,18325.83,15244.89,16030.37,17316.02,19488.49,15303.88,15212.09,17128.73,15706.23,20185.47,15783.8,20197.0,17796.06,15262.98,11801.41,10563.68,25350.53,29527.92,15964.94,29310.66,14313.5,7504.0,18103.18,19796.7,14521.76,22700.78,9183.86,21744.24,21500.55,6709.68,12773.54,20132.7,12069.45,2636.69,7676.279999999999,4662.3,2860.68,13324.33,3064.8,2599.59,7164.99,15703.65,2840.06,8643.729999999998,7508.05,2620.84,11186.19,5268.69,11893.32,6992.82,2908.24,12177.93,11967.33,956.54,9163.5,22522.64,23746.45,21529.59,21843.29,20574.58,21529.59,21494.1,21421.56,23216.1,22193.29,23813.45,24172.89,26305.17,22176.95,21970.94,20857.04,23537.16,21531.6,20118.13,21682.31,21577.5,21169.78,22339.68,21586.92,19880.66,22392.92,22041.24,22330.89,22448.23,21694.16,20372.16,24565.97,23216.1,22163.16,20388.72,23184.02,19849.16,22304.1,22415.91,20113.61,22209.37,24099.62,25223.36,22330.89,19871.93,22069.81,21321.77,23132.41,20423.01,24546.93,24545.26,21653.37,22407.3,23684.8,21776.78,21471.99,21776.78,21733.25,21186.88,20451.8,23818.94,23596.53,26682.83,20962.57,24565.97,11430.39,14635.99,10867.34,12670.13,17946.6,12206.11,11545.32,11103.56,12311.32,20588.91,11861.8,21522.07,24927.73,11861.8
9,16132.12,12966.19,7631.76,4355.25,8667.35,3839.3,2414.95,13949.12,10507.26,0.0,2566.56,11981.76,7244.359999999999,9305.75,2663.08,10963.15,9436.74,8486.95,3482.87,11290.77,2186.16,6511.79,5122.96,5538.83,4239.51,4113.86,6001.21,11029.54,6303.05,2186.8,1304.26,348.69,1356.93,2599.02,428.19,3158.59,4147.84,1672.38,11791.7,1672.38,11038.88,4113.86,12227.4,11290.77,9690.55,9436.74,1356.93,4259.68,4446.58,10339.21,5536.61,17990.63,16493.84,21063.84,6341.38,23604.26,20602.44,7775.95,10266.96,16509.36,16493.84,15180.35,21219.09,3336.19,16122.97,10374.53,6186.11,3796.0,11299.73,4132.57,20602.44,23173.89,17209.54,24069.05,7111.48,7246.14,7382.38,11066.3,7552.13,8132.319999999999,7177.96,9454.73,7973.81,8082.17,13188.61,11639.95,18650.55,9186.97,8114.34,18019.59,7584.68,7150.89,15633.44,7286.04,17190.66,10114.93,12129.11,7246.14,9135.48,9454.73,8642.58,7177.96,7607.14,9792.74,7485.97,9806.23,7552.13,8472.42,20871.59,19847.87,32884.39,36545.61,24434.7,36364.04,23044.07,16681.32,26312.49,27903.95,23221.57,30374.99,18418.08,29492.27,29314.81,16174.85,21710.08,28226.61,21090.95,13143.54,10769.57,14690.48,11899.99,12277.85,13520.36,12373.37,10682.93,13139.38,11887.79,11143.78,10740.43,12392.86,11814.66,7292.22,8559.469999999998,6922.48,13106.17,8816.069999999998,8625.36,11451.32,7545.37,24925.73,15438.75,15742.72,15813.33,18808.19,15742.72,20904.65,27359.34,15433.49,23190.14,30804.32,15574.22,33954.72,23533.4,21935.72,19935.64,15612.88,16818.71,24902.22,15739.95,17018.01,18399.38,22621.12,16984.34,25279.03,24185.87,22044.58,28698.58,24334.65,17390.71,26060.64,31784.72,15433.49,15628.51,26070.04,15450.58,25161.9,23042.92,24203.82,24911.38,15343.48,31184.59,32624.09,28698.58,25182.02,15862.51,20651.04,15433.75,19147.38,31770.21,31757.89,18383.7,15327.89,15502.39,24826.66,18381.35,24826.66,21409.97,18417.82,19271.18,30801.18,15556.41,34417.63,24651.05,31784.72,17625.4,16853.43,19263.82,16819.02,17903.76,17043.13,17516.24,17884.37,17003.37,19083.19,17280.23,19606.7,21843.9,17280.23
